#  Table WFC3.IR.G141.1st.sens.2.fits[1]  Tue 03:23:23 11-Jan-2011

# row      WAVELENGTH     SENSITIVITY           ERROR
#                                                    

  499          10448.     2.414817E14     3.371507E13
  500          10449.     2.430630E14     3.375803E13
  501          10450.     2.446612E14     3.380100E13
  502          10451.     2.462763E14     3.384395E13
  503          10452.     2.479082E14     3.388685E13
  504          10453.     2.495571E14     3.392966E13
  505          10454.     2.512229E14     3.397235E13
  506          10455.     2.529055E14     3.401487E13
  507          10456.     2.546051E14     3.405718E13
  508          10457.     2.563215E14     3.409926E13
  509          10458.     2.580549E14     3.414105E13
  510          10459.     2.598051E14     3.418255E13
  511          10460.     2.615722E14     3.422368E13
  512          10461.     2.633563E14     3.426443E13
  513          10462.     2.651572E14     3.430476E13
  514          10463.     2.669751E14     3.434462E13
  515          10464.     2.688098E14     3.438399E13
  516          10465.     2.706614E14     3.442282E13
  517          10466.     2.725299E14     3.446107E13
  518          10467.     2.744153E14     3.449872E13
  519          10468.     2.763177E14     3.453572E13
  520          10469.     2.782368E14     3.457203E13
  521          10470.     2.801730E14     3.460763E13
  522          10471.     2.821260E14     3.464247E13
  523          10472.     2.840959E14     3.467651E13
  524          10473.     2.861685E14     3.486260E13
  525          10474.     2.882616E14     3.505020E13
  526          10475.     2.903753E14     3.523933E13
  527          10476.     2.925094E14     3.542994E13
  528          10477.     2.946640E14     3.562204E13
  529          10478.     2.968392E14     3.581561E13
  530          10479.     2.990349E14     3.601062E13
  531          10480.     3.012511E14     3.620709E13
  532          10481.     3.034878E14     3.640496E13
  533          10482.     3.057450E14     3.660425E13
  534          10483.     3.080227E14     3.680494E13
  535          10484.     3.103210E14     3.700701E13
  536          10485.     3.126397E14     3.721045E13
  537          10486.     3.149789E14     3.741523E13
  538          10487.     3.173387E14     3.762135E13
  539          10488.     3.197190E14     3.782880E13
  540          10489.     3.221198E14     3.803756E13
  541          10490.     3.245410E14     3.824761E13
  542          10491.     3.269829E14     3.845894E13
  543          10492.     3.294452E14     3.867155E13
  544          10493.     3.319280E14     3.888539E13
  545          10494.     3.344313E14     3.910048E13
  546          10495.     3.369552E14     3.931679E13
  547          10496.     3.394995E14     3.953431E13
  548          10497.     3.420644E14     3.975302E13
  549          10498.     3.446498E14     3.997291E13
  550          10499.     3.472556E14     4.019396E13
  551          10500.     3.498821E14     4.041617E13
  552          10501.     3.525290E14     4.063952E13
  553          10502.     3.551964E14     4.086398E13
  554          10503.     3.578843E14     4.108956E13
  555          10504.     3.605927E14     4.131622E13
  556          10505.     3.633217E14     4.154397E13
  557          10506.     3.660711E14     4.177278E13
  558          10507.     3.688411E14     4.200264E13
  559          10508.     3.716315E14     4.223354E13
  560          10509.     3.744426E14     4.246546E13
  561          10510.     3.772740E14     4.269838E13
  562          10511.     3.801260E14     4.293230E13
  563          10512.     3.829986E14     4.316720E13
  564          10513.     3.858916E14     4.340305E13
  565          10514.     3.888051E14     4.363987E13
  566          10515.     3.917391E14     4.387761E13
  567          10516.     3.946937E14     4.411627E13
  568          10517.     3.976688E14     4.435585E13
  569          10518.     4.006643E14     4.459631E13
  570          10519.     4.035556E14     4.472970E13
  571          10520.     4.063346E14     4.475327E13
  572          10521.     4.091235E14     4.477404E13
  573          10522.     4.119223E14     4.479197E13
  574          10523.     4.147309E14     4.480705E13
  575          10524.     4.175494E14     4.481925E13
  576          10525.     4.203778E14     4.482858E13
  577          10526.     4.232161E14     4.483498E13
  578          10527.     4.260644E14     4.483846E13
  579          10528.     4.289224E14     4.483898E13
  580          10529.     4.317904E14     4.483652E13
  581          10530.     4.346682E14     4.483107E13
  582          10531.     4.375560E14     4.482259E13
  583          10532.     4.404536E14     4.481109E13
  584          10533.     4.433611E14     4.479653E13
  585          10534.     4.462785E14     4.477889E13
  586          10535.     4.492059E14     4.475815E13
  587          10536.     4.521430E14     4.473428E13
  588          10537.     4.550901E14     4.470728E13
  589          10538.     4.580471E14     4.467712E13
  590          10539.     4.610139E14     4.464377E13
  591          10540.     4.639906E14     4.460722E13
  592          10541.     4.669772E14     4.456745E13
  593          10542.     4.699738E14     4.452443E13
  594          10543.     4.729801E14     4.447814E13
  595          10544.     4.759964E14     4.442857E13
  596          10545.     4.790225E14     4.437569E13
  597          10546.     4.820586E14     4.431949E13
  598          10547.     4.851045E14     4.425993E13
  599          10548.     4.881604E14     4.419701E13
  600          10549.     4.912261E14     4.413069E13
  601          10550.     4.943017E14     4.406097E13
  602          10551.     4.973871E14     4.398781E13
  603          10552.     5.004825E14     4.391120E13
  604          10553.     5.035878E14     4.383112E13
  605          10554.     5.067029E14     4.374754E13
  606          10555.     5.098280E14     4.366046E13
  607          10556.     5.129628E14     4.356982E13
  608          10557.     5.161077E14     4.347565E13
  609          10558.     5.192624E14     4.337789E13
  610          10559.     5.224270E14     4.327652E13
  611          10560.     5.256014E14     4.317155E13
  612          10561.     5.287858E14     4.306294E13
  613          10562.     5.319801E14     4.295066E13
  614          10563.     5.351842E14     4.283470E13
  615          10564.     5.383982E14     4.271504E13
  616          10565.     5.416221E14     4.259166E13
  617          10566.     5.446464E14     4.258786E13
  618          10567.     5.476717E14     4.258146E13
  619          10568.     5.506982E14     4.257245E13
  620          10569.     5.537256E14     4.256084E13
  621          10570.     5.567543E14     4.254663E13
  622          10571.     5.597839E14     4.252981E13
  623          10572.     5.628146E14     4.251038E13
  624          10573.     5.658464E14     4.248835E13
  625          10574.     5.688792E14     4.246370E13
  626          10575.     5.719131E14     4.243645E13
  627          10576.     5.749481E14     4.240657E13
  628          10577.     5.779842E14     4.237409E13
  629          10578.     5.810212E14     4.233898E13
  630          10579.     5.840594E14     4.230127E13
  631          10580.     5.870987E14     4.226093E13
  632          10581.     5.901390E14     4.221797E13
